,date,tvl_usd
1389,2025-02-06 00:00:00,16472743525.70872
1390,2025-02-07 00:00:00,16400785866.93462
1391,2025-02-08 00:00:00,16191726400.79935
1392,2025-02-09 00:00:00,16350646250.85892
1393,2025-02-10 00:00:00,16243544498.27948
1394,2025-02-11 00:00:00,16579955058.64694
1395,2025-02-12 00:00:00,16172838518.65168
1396,2025-02-13 00:00:00,16701938674.23833
1397,2025-02-14 00:00:00,16596788202.06635
1398,2025-02-15 00:00:00,16831599939.76444
1399,2025-02-16 00:00:00,16707063635.69471
1400,2025-02-17 00:00:00,16437189157.62772
1401,2025-02-18 00:00:00,16822790359.45993
1402,2025-02-19 00:00:00,16510404032.48619
1403,2025-02-20 00:00:00,16793936478.51612
1404,2025-02-21 00:00:00,17028337125.38197
1405,2025-02-22 00:00:00,16619840715.58527
1406,2025-02-23 00:00:00,16573334260.01134
1407,2025-02-24 00:00:00,17370930227.50992
1408,2025-02-25 00:00:00,16345115529.71862
1409,2025-02-26 00:00:00,16288154029.41559
1410,2025-02-27 00:00:00,15354386508.27417
1411,2025-02-28 00:00:00,15411453604.8026
1412,2025-03-01 00:00:00,15413537743.43123
1413,2025-03-02 00:00:00,15482232622.79342
1414,2025-03-03 00:00:00,17016160047.46676
1415,2025-03-04 00:00:00,15390270687.94471
1416,2025-03-05 00:00:00,15455407368.2345
1417,2025-03-06 00:00:00,15932879879.12695
1418,2025-03-07 00:00:00,15357810604.64711
1419,2025-03-08 00:00:00,15327737735.41556
1420,2025-03-09 00:00:00,15418564481.85866
1421,2025-03-10 00:00:00,14563857930.06075
1422,2025-03-11 00:00:00,14033963310.46939
1423,2025-03-12 00:00:00,14454533564.33137
1424,2025-03-13 00:00:00,14541389845.30913
1425,2025-03-14 00:00:00,14367071674.25025
1426,2025-03-15 00:00:00,14889171701.64662
1427,2025-03-16 00:00:00,15050047594.46427
1428,2025-03-17 00:00:00,14921944223.66081
1429,2025-03-18 00:00:00,15041902415.70932
1430,2025-03-19 00:00:00,15066850032.55206
1431,2025-03-20 00:00:00,15013043954.06178
1432,2025-03-21 00:00:00,14698830803.2129
1433,2025-03-22 00:00:00,14895137411.45631
1434,2025-03-23 00:00:00,15175918586.34594
1435,2025-03-24 00:00:00,15664932726.60617
1436,2025-03-25 00:00:00,16215651016.17433
1437,2025-03-26 00:00:00,16422607236.69522
1438,2025-03-27 00:00:00,16015819729.88385
1439,2025-03-28 00:00:00,16166525908.11154
1440,2025-03-29 00:00:00,15498306016.98663
1441,2025-03-30 00:00:00,15055801945.89405
1442,2025-03-31 00:00:00,14082124513.41651
1443,2025-04-01 00:00:00,14439588504.54893
1444,2025-04-02 00:00:00,14966482927.32767
1445,2025-04-03 00:00:00,14426304823.54951
1446,2025-04-04 00:00:00,14675094515.53334
1447,2025-04-05 00:00:00,14762622634.77749
1448,2025-04-06 00:00:00,14839801829.84186
1449,2025-04-07 00:00:00,13760936511.67192
1450,2025-04-08 00:00:00,14043781065.0429
1451,2025-04-09 00:00:00,13790771719.60522
1452,2025-04-10 00:00:00,15023167026.74679
1453,2025-04-11 00:00:00,14327943447.01438
1454,2025-04-12 00:00:00,14667480258.13459
1455,2025-04-13 00:00:00,14779452886.91413
1456,2025-04-13 16:51:47,14819673089.31496
