,wallet_address,counterparty,tx_count,rnk
88556,0x04c079bb31deed8391015eed8d6b625a40957058,0x4653da3981be5ad6d9145ed388cf4e3bb3b25eea,6,10
89634,0x04d1279513b307471a0555c4c4ced0eba594d6dd,0xb4cb8de77ba9e15236022fbe9505d8c856dae572,27,1
89788,0x04d3b2c70208f3fb196affef78080b3cc05ee1cb,0xce2c4ed51dc0b01ab5149fcde89a569cce73cbd5,1,2
89789,0x04d3b2c70208f3fb196affef78080b3cc05ee1cb,0x04d3b2c70208f3fb196affef78080b3cc05ee1cb,1,1
90090,0x04d78999accdb4446763ba2c002cf8d8651643be,0x23fd22c8c0d737ef57e70c3ee94a85f42952f98a,1,9
90091,0x04d78999accdb4446763ba2c002cf8d8651643be,0x7a55abf64813b9d2deda3f39d4ab0fbda5d60ed0,1,10
90092,0x04d78999accdb4446763ba2c002cf8d8651643be,0xd992b099d1c140558c48556c47bedbe39f120d63,1,8
90093,0x04d78999accdb4446763ba2c002cf8d8651643be,0x0cb61c204ccfa925c0dda12bf981c1ab89aa25de,1,5
90094,0x04d78999accdb4446763ba2c002cf8d8651643be,0x0072b9de9e7d4e791ada53a172e0861dbec7ff90,1,2
90095,0x04d78999accdb4446763ba2c002cf8d8651643be,0xbd8868104eaba96806f7ea8a13f8a41adbe1eedc,1,7
90096,0x04d78999accdb4446763ba2c002cf8d8651643be,0x7853f6efb11934c4c4fdf954c408fb79cb90f449,1,4
90097,0x04d78999accdb4446763ba2c002cf8d8651643be,0xb3cbf923b1745e6cb2fbab1f7e573b1e91cf6c52,1,3
90098,0x04d78999accdb4446763ba2c002cf8d8651643be,0xdc2c3c3b3e8e22566ddc2fe008e3999901dd1372,1,1
90099,0x04d78999accdb4446763ba2c002cf8d8651643be,0x73f976f24c7e363870fd0ac2d511d49aa90a2204,1,6
90831,0x04e21683839f5986c6cad97e41e762b77e7557c0,0x934f0d35416c63652e3ce8528d0eb9368d02678e,3,1
90935,0x04e36b98ffbb2c04d3a1f3dd27fb9eff635aedb4,0xe01f7aaf67d48cf3c171c502ecfca51d957d49a4,1,1
