,FROM_ADDRESS,value_sum_DeFi,value_sum_Governance,value_sum_Infrastructure,value_sum_Other,value_sum_Rewards,value_sum_Utility,gas_used_sum_DeFi,gas_used_sum_Governance,gas_used_sum_Infrastructure,gas_used_sum_Other,gas_used_sum_Rewards,gas_used_sum_Utility,avg_gas_per_tx_DeFi,avg_gas_per_tx_Governance,avg_gas_per_tx_Infrastructure,avg_gas_per_tx_Other,avg_gas_per_tx_Rewards,avg_gas_per_tx_Utility,gas_efficiency_DeFi,gas_efficiency_Governance,gas_efficiency_Infrastructure,gas_efficiency_Other,gas_efficiency_Rewards,gas_efficiency_Utility,category_diversity,dominant_category_encoded
3718,0x3c8cd416ff36e4c5df24d83a603287456aec55e5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192850.0,0.0,0.0,0.0,0.0,0.0,192850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
3719,0x3c9525784badf892f24cf9a252c06db97679986e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81465.0,0.0,0.0,0.0,0.0,0.0,81465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3720,0x3c970be3e315bfc08f9f4d6b4fb2b548859c66a1,0.0,0.0,0.0,0.0,0.0,0.0,29962.0,0.0,0.0,0.0,0.0,0.0,29962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3721,0x3c98c54808830dc0ddec56bea89c69ffa0569ac9,0.0,0.0,0.0,0.0,0.0,0.0,1369.0,0.0,0.0,0.0,0.0,0.0,1369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3722,0x3c99f141c4e703fedad4a831f137746e9a77cadb,0.0,0.0,0.0,0.0,0.0,0.0,46575.0,0.0,0.0,0.0,0.0,0.0,46575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3723,0x3c9a16c1eac4fca4c8a059e0ddd796e37226d0df,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131137.0,0.0,0.0,0.0,0.0,0.0,131137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3724,0x3c9c39311aea00433563de994ac06ece89cd84a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106908.0,0.0,0.0,0.0,0.0,0.0,53454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3725,0x3c9e8df68a0f370b469c4c5d2fde1b2e43443489,0.0,0.0,0.0,0.0,0.0,0.0,41297.0,0.0,0.0,0.0,0.0,0.0,41297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3726,0x3c9fd2940982ca162b8beafd317186c3c54a3504,0.0,0.0,0.0,0.0,0.0,0.0,63209.0,0.0,0.0,0.0,0.0,0.0,63209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3727,0x3ca2887a9aa523be22ae30bd87fdde792c5542d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4968.0,0.0,0.0,0.0,0.0,0.0,2484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3728,0x3ca53b50c42933cdad4ed449fa738a90f226516d,0.0,0.0,0.0,0.0,0.0,0.0,47221.0,0.0,0.0,0.0,0.0,0.0,47221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3729,0x3ca658be8852bb97fdb5dabf00001e1403ae83ad,0.0,0.0,0.0,0.0,0.0,0.0,47110.0,0.0,0.0,0.0,0.0,0.0,47110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3730,0x3cad171f69c493c4e82dcf9befd53f75da32479b,0.083,0.0,0.0,0.0,0.0,0.0,207298.0,0.0,0.0,0.0,0.0,0.0,207298.0,0.0,0.0,0.0,0.0,0.0,4.00389777035956e-07,0.0,0.0,0.0,0.0,0.0,1,0
3731,0x3cb04e88694b780629989479f0abfc466404a8fe,0.0,0.0,0.0,0.0,0.0,0.0,24457.0,0.0,0.0,0.0,0.0,0.0,24457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3732,0x3cb7f4f2a98bffce79cf1f987aa4a9bfe04988f9,0.0,0.0,0.0,0.0,0.0,0.0,46669.0,0.0,0.0,0.0,0.0,0.0,46669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3733,0x3cc285994c5d9fda606cc28a72dafecea4a45b4a,0.0,0.0,0.0,0.0,0.0,0.0,67919.0,0.0,0.0,0.0,0.0,0.0,67919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3734,0x3cc52170fdea5c485db6d412b78ea40f27ffc629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30308.0,0.0,0.0,0.0,0.0,0.0,10102.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3735,0x3cc8e2aebbefe37d4c7e9ed7accef6bcc31eea61,0.0,0.0,0.0,0.0,0.0,0.0,286118.0,0.0,0.0,0.0,0.0,0.0,9866.137931034482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3736,0x3cca8cdc2447de191f207fa9c05f913aee1773d3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,300773.0,0.0,0.0,0.0,0.0,0.0,300773.0,0.0,0.0,0.0,0.0,0.0,3.3247665182712435e-06,0.0,0.0,0.0,1,2
3737,0x3ccdac86f5943291fe5b20c40172f0f9414bcc0d,0.0,0.0,0.0,0.0,0.0,0.0,59700.0,0.0,0.0,0.0,0.0,0.0,59700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3738,0x3cdd79c5bfe7b33440182502311953285c29ab62,0.0,0.0,0.0,0.0,0.0,0.0,32455.0,0.0,0.0,0.0,0.0,0.0,32455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3739,0x3cecc033ab686bca0c2604ec2b23d7fd7d452b60,0.0,0.0,0.0,0.0,0.0,0.0,32098.0,0.0,0.0,0.0,0.0,0.0,6419.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3740,0x3cf20db9503dc4e926e6b8938afa3d4708e25b96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176515.0,0.0,0.0,0.0,0.0,0.0,176515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3741,0x3cf63891928b8ceebb81c95426600a18cd59c03f,0.0,0.0,0.0,0.0,0.0,0.0,44598.0,0.0,0.0,102300.0,0.0,0.0,22299.0,0.0,0.0,34100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
3742,0x3cfd5c0d4acaa8faee335842e4f31159fc76b008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9829.0,0.0,0.0,0.0,0.0,0.0,9829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3743,0x3d0345581101fd37af4c0e7e719b21c2d53e973a,0.0,0.0,0.0,0.0,0.0,0.0,483009.0,0.0,0.0,0.0,0.0,0.0,10733.533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3744,0x3d03dc9b0a596bfa5e5c278c0886934b6416afaa,0.0,0.0,0.39537809771000004,0.0,0.0,0.0,28004.0,0.0,509554.0,0.0,0.0,0.0,14002.0,0.0,127388.5,0.0,0.0,0.0,0.0,0.0,9.070761895953926e-07,0.0,0.0,0.0,2,2
3745,0x3d03f3c96599b3122deda55e1129a029b73f78da,0.0,0.0,0.0,0.0,0.0,0.0,41837.0,0.0,0.0,0.0,0.0,0.0,41837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3746,0x3d056fbea4e76d612e3e03f1d1d9d29ddc23bbdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168548.0,0.0,0.0,0.0,0.0,0.0,168548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
3747,0x3d08c1cc4bc7f70f71f5b70a7b28a7236e4579f9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183901.0,0.0,0.0,0.0,0.0,0.0,183901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
3748,0x3d08ccb47cccde84755924ed6b0642f9ab30dfd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46629.0,0.0,0.0,0.0,0.0,0.0,46629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3749,0x3d0bb8803a6c1fee1b3e8bf730534574623cb70f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66059.0,0.0,0.0,0.0,0.0,0.0,66059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
