,FROM_ADDRESS,function_count_30d_bin,value_sent_bin,contract_diversity_7d_bin,gas_used_7d_bin,tx_per_day_bin,first_last_bin,tx_count_30d_bin_binary,cluster_jaccard
6814,0x3f382dbd960e3a9bbceae22651e88158d2791550,1,none_or_zero,very_low,medium,high,,1,3
6815,0x3f3b3b269d9f7088b022290906acff8710914be1,0,none_or_zero,low,very_low,high,,1,4
6816,0x3f403260f22239852b101581a77ff826d2dfa865,0,none_or_zero,very_low,high,high,very_short,1,1
6817,0x3f414d5951847f41f3da855f854e5b060a3fd2fa,0,none_or_zero,low,very_low,high,very_short,1,4
6818,0x3f453d558849fea4238c6f0aed5311491df95ec7,0,none_or_zero,very_low,low,high,very_short,1,3
6819,0x3f459e672cf427fcfa52c4df38c3994c93a62c7c,0,none_or_zero,low,very_low,high,very_short,1,4
6820,0x3f48bcc5072e67e5b2a85ffaf2dadda9bf31e237,0,none_or_zero,low,very_low,high,very_short,1,4
6821,0x3f4e4dad0ac01da50a774f3389b70506c96fff2f,0,none_or_zero,low,very_low,high,very_short,1,4
6822,0x3f503ad804da08156b73d37f3e105bca5d12c9d9,0,none_or_zero,low,very_low,high,very_short,1,4
6823,0x3f54db2c9725f2abc390bcc59ecd661b08a89aa6,0,none_or_zero,very_low,high,high,very_short,1,1
6824,0x3f567d9d17ef34bb9441501c7eb5c55ac7b385e0,0,none_or_zero,very_low,high,high,very_short,1,1
6825,0x3f57107492830955871673a5c5f3d282f439b752,0,none_or_zero,very_low,high,high,very_short,1,1
6826,0x3f57878b7f7295206a3e195291365e1b226506d0,0,none_or_zero,low,very_low,high,very_short,1,4
6827,0x3f57f8dd7cf41862cde6715c58225439fb0503e1,0,none_or_zero,low,very_low,high,,1,4
6828,0x3f59b1c55d8974d30fe56068333630008a5edfbc,0,none_or_zero,very_low,medium,high,very_short,1,2
6829,0x3f5c63bd3e3933ca0026ee6a2213095ee2dba7e4,0,none_or_zero,low,very_low,high,very_short,1,4
6830,0x3f645e37ab5e56cea43e3ae9a9ff92297c59e233,1,none_or_zero,low,very_low,high,,1,6
6831,0x3f69bb14860f7f3348ac8a5f0d445322143f7fee,1,none_or_zero,low,medium,high,,1,6
6832,0x3f6a367db2bc1be251bbb3901346061cd099af4e,1,none_or_zero,low,very_low,high,,1,6
6833,0x3f6adc8ba8a8abe00981e262a546bdf8741c06e0,0,none_or_zero,low,very_low,high,very_short,1,4
6834,0x3f6e44e17487a4628cfc630a9138aa7dc5ff1d76,0,none_or_zero,low,very_low,high,very_short,1,4
6835,0x3f6f00178133ce6df2c5c41258047fcd8db694c9,0,none_or_zero,very_low,medium,high,very_short,1,2
6836,0x3f6fede31c76f93761e64a721612c9ea72847c9c,0,none_or_zero,very_low,medium,high,very_short,1,2
6837,0x3f72dfaf45f8dc8ee1836e37a6effebffb34e9b3,0,none_or_zero,low,very_low,high,very_short,1,4
6838,0x3f74518b29391d91ba831630b0046822382a641e,0,none_or_zero,low,very_low,high,very_short,1,4
6839,0x3f75a5b408feb14cba3d21bd934dc5b88908f105,0,none_or_zero,low,very_low,high,,1,4
6840,0x3f7641ee7a8790c33be16b435009ca15400519fe,0,none_or_zero,very_low,low,high,,1,3
6841,0x3f79caf1c12c4531cb8b5d9a07b89d8c00e17fe8,0,none_or_zero,very_low,medium,high,very_short,1,2
